shipment_id,supplier_id,product_id,shipped_quantity,dispatch_date,expected_delivery_date,status,destination_warehouse
SHP00167,S056,P082,189,2024-07-18,2024-07-23,DISPATCHED,WH-DELHI
SHP00168,S048,P025,434,2024-05-02,2024-05-07,DISPATCHED,WH-MUMBAI
SHP00169,S091,P048,99,2024-10-30,2024-11-05,DISPATCHED,WH-BANGALORE
SHP00170,S010,P068,133,2024-04-05,2024-04-12,DISPATCHED,WH-HYDERABAD
SHP00171,S084,P021,388,2024-07-23,2024-07-29,DISPATCHED,WH-BANGALORE
SHP00172,S001,P028,318,2023-05-08,2023-05-13,DISPATCHED,WH-MUMBAI
SHP00173,S085,P026,275,2023-04-18,2023-04-21,DISPATCHED,WH-DELHI
SHP00174,S097,P062,166,2024-02-24,2024-03-02,DISPATCHED,WH-BANGALORE
SHP00175,S007,P097,124,2023-03-25,2023-03-31,DISPATCHED,WH-MUMBAI
SHP00176,S035,P021,420,2024-02-02,2024-02-05,DISPATCHED,WH-MUMBAI
SHP00177,S040,P045,385,2024-06-29,2024-07-05,DISPATCHED,WH-BANGALORE
SHP00178,S003,P041,68,2023-02-01,2023-02-06,DISPATCHED,WH-MUMBAI
SHP00179,S059,P039,407,2024-01-20,2024-01-27,DISPATCHED,WH-DELHI
SHP00180,S059,P067,219,2024-11-22,2024-11-25,DISPATCHED,WH-BANGALORE
SHP00181,S083,P093,91,2023-08-18,2023-08-22,DISPATCHED,WH-MUMBAI
SHP00182,S085,P035,478,2024-05-20,2024-05-25,DISPATCHED,WH-DELHI
SHP00183,S004,P058,123,2024-03-04,2024-03-07,DISPATCHED,WH-MUMBAI
SHP00184,S020,P032,418,2024-02-28,2024-03-04,DISPATCHED,WH-MUMBAI
SHP00185,S037,P026,480,2023-03-02,2023-03-05,DISPATCHED,WH-MUMBAI
SHP00186,S039,P083,356,2023-08-07,2023-08-12,DISPATCHED,WH-HYDERABAD
SHP00187,S100,P027,137,2023-12-02,2023-12-09,DISPATCHED,WH-DELHI
SHP00188,S008,P064,294,2023-06-03,2023-06-07,DISPATCHED,WH-MUMBAI
SHP00189,S026,P050,205,2023-06-07,2023-06-13,DISPATCHED,WH-BANGALORE
SHP00190,S060,P095,209,2023-01-16,2023-01-20,DISPATCHED,WH-MUMBAI
SHP00191,S051,P010,309,2023-05-18,2023-05-22,DISPATCHED,WH-HYDERABAD
SHP00192,S032,P002,126,2024-07-18,2024-07-25,DISPATCHED,WH-HYDERABAD
SHP00193,S060,P077,362,2023-02-20,2023-02-27,DISPATCHED,WH-DELHI
SHP00194,S064,P080,273,2023-10-01,2023-10-04,DISPATCHED,WH-MUMBAI
SHP00195,S085,P080,327,2024-09-27,2024-10-01,DISPATCHED,WH-MUMBAI
SHP00196,S100,P005,189,2024-11-26,2024-12-03,DISPATCHED,WH-HYDERABAD
SHP00197,S055,P087,365,2024-08-20,2024-08-25,DISPATCHED,WH-DELHI
SHP00198,S061,P087,409,2023-03-09,2023-03-13,DISPATCHED,WH-BANGALORE
SHP00199,S040,P058,360,2023-06-27,2023-06-30,DISPATCHED,WH-BANGALORE
SHP00200,S047,P069,495,2023-05-03,2023-05-09,DISPATCHED,WH-DELHI
SHP00201,S073,P100,471,2024-12-03,2024-12-09,DISPATCHED,WH-BANGALORE
SHP00202,S011,P092,106,2023-01-21,2023-01-25,DISPATCHED,WH-HYDERABAD
SHP00203,S078,P054,87,2023-01-17,2023-01-21,DISPATCHED,WH-BANGALORE
SHP00204,S067,P044,481,2023-09-18,2023-09-24,DISPATCHED,WH-MUMBAI
SHP00205,S034,P055,203,2024-06-22,2024-06-28,DISPATCHED,WH-BANGALORE
SHP00206,S005,P014,490,2024-10-15,2024-10-18,DISPATCHED,WH-BANGALORE
SHP00207,S018,P092,103,2023-09-24,2023-09-28,DISPATCHED,WH-HYDERABAD
SHP00208,S037,P077,131,2023-09-02,2023-09-07,DISPATCHED,WH-HYDERABAD
SHP00209,S025,P049,82,2024-03-23,2024-03-29,DISPATCHED,WH-BANGALORE
SHP00210,S026,P078,467,2023-07-26,2023-07-31,DISPATCHED,WH-DELHI
SHP00211,S001,P019,250,2024-02-23,2024-02-29,DISPATCHED,WH-DELHI
SHP00212,S094,P052,210,2023-05-28,2023-06-01,DISPATCHED,WH-HYDERABAD
SHP00213,S010,P081,498,2023-03-29,2023-04-04,DISPATCHED,WH-BANGALORE
SHP00214,S064,P014,329,2024-09-17,2024-09-23,DISPATCHED,WH-BANGALORE
SHP00215,S028,P033,322,2024-10-03,2024-10-09,DISPATCHED,WH-MUMBAI
SHP00216,S010,P066,105,2023-04-02,2023-04-06,DISPATCHED,WH-HYDERABAD
SHP00217,S049,P079,361,2023-04-26,2023-05-02,DISPATCHED,WH-HYDERABAD
SHP00218,S010,P100,349,2023-03-21,2023-03-28,DISPATCHED,WH-HYDERABAD
SHP00219,S023,P097,106,2024-11-29,2024-12-03,DISPATCHED,WH-DELHI
SHP00220,S006,P081,204,2023-01-20,2023-01-27,DISPATCHED,WH-MUMBAI
SHP00221,S067,P020,231,2023-11-18,2023-11-25,DISPATCHED,WH-BANGALORE
SHP00222,S069,P095,201,2024-03-14,2024-03-21,DISPATCHED,WH-BANGALORE
SHP00223,S009,P042,311,2024-07-01,2024-07-06,DISPATCHED,WH-DELHI
SHP00224,S056,P039,328,2024-02-01,2024-02-08,DISPATCHED,WH-DELHI
SHP00225,S053,P047,287,2023-05-25,2023-05-30,DISPATCHED,WH-BANGALORE
SHP00226,S027,P009,306,2024-06-22,2024-06-25,DISPATCHED,WH-BANGALORE
SHP00227,S095,P032,130,2023-02-07,2023-02-14,DISPATCHED,WH-DELHI
SHP00228,S008,P084,174,2024-05-15,2024-05-21,DISPATCHED,WH-HYDERABAD
SHP00229,S003,P050,321,2023-10-09,2023-10-15,DISPATCHED,WH-MUMBAI
SHP00230,S001,P065,76,2024-08-14,2024-08-21,DISPATCHED,WH-DELHI
SHP00231,S040,P083,80,2024-07-08,2024-07-14,DISPATCHED,WH-BANGALORE
SHP00232,S037,P019,256,2023-11-17,2023-11-24,DISPATCHED,WH-BANGALORE
SHP00233,S067,P041,255,2024-10-21,2024-10-27,DISPATCHED,WH-MUMBAI
SHP00234,S043,P046,160,2024-07-21,2024-07-27,DISPATCHED,WH-BANGALORE
SHP00235,S048,P041,315,2024-10-29,2024-11-05,DISPATCHED,WH-BANGALORE
SHP00236,S085,P063,489,2023-06-28,2023-07-03,DISPATCHED,WH-MUMBAI
SHP00237,S005,P001,112,2024-02-04,2024-02-09,DISPATCHED,WH-DELHI
SHP00238,S090,P091,471,2023-07-19,2023-07-22,DISPATCHED,WH-MUMBAI
SHP00239,S046,P036,217,2024-03-22,2024-03-29,DISPATCHED,WH-BANGALORE
SHP00240,S089,P089,83,2023-03-30,2023-04-03,DISPATCHED,WH-DELHI
SHP00241,S053,P039,473,2024-01-31,2024-02-07,DISPATCHED,WH-HYDERABAD
SHP00242,S018,P061,202,2024-10-29,2024-11-04,DISPATCHED,WH-BANGALORE
SHP00243,S082,P091,72,2023-09-15,2023-09-22,DISPATCHED,WH-BANGALORE
SHP00244,S072,P045,382,2023-09-18,2023-09-21,DISPATCHED,WH-MUMBAI
SHP00245,S084,P008,272,2023-11-28,2023-12-05,DISPATCHED,WH-HYDERABAD
SHP00246,S048,P079,454,2023-07-21,2023-07-24,DISPATCHED,WH-HYDERABAD
SHP00247,S096,P037,301,2024-06-13,2024-06-16,DISPATCHED,WH-HYDERABAD
SHP00248,S015,P093,55,2023-12-03,2023-12-06,DISPATCHED,WH-MUMBAI
SHP00249,S087,P063,189,2023-02-16,2023-02-20,DISPATCHED,WH-BANGALORE
SHP00250,S042,P037,236,2023-03-18,2023-03-25,DISPATCHED,WH-DELHI
SHP00251,S010,P045,142,2024-08-25,2024-08-30,DISPATCHED,WH-BANGALORE
SHP00252,S073,P051,301,2023-04-16,2023-04-19,DISPATCHED,WH-DELHI
SHP00253,S024,P003,87,2023-08-07,2023-08-12,DISPATCHED,WH-MUMBAI
SHP00254,S055,P026,120,2023-08-01,2023-08-04,DISPATCHED,WH-DELHI
SHP00255,S081,P023,468,2024-04-02,2024-04-05,DISPATCHED,WH-HYDERABAD
SHP00256,S096,P082,340,2023-10-12,2023-10-15,DISPATCHED,WH-BANGALORE
SHP00257,S071,P020,382,2024-11-03,2024-11-08,DISPATCHED,WH-BANGALORE
SHP00258,S032,P001,56,2024-09-12,2024-09-15,DISPATCHED,WH-BANGALORE
SHP00259,S023,P039,80,2024-03-21,2024-03-27,DISPATCHED,WH-BANGALORE
SHP00260,S082,P043,417,2023-02-19,2023-02-25,DISPATCHED,WH-HYDERABAD
SHP00261,S068,P001,135,2023-06-06,2023-06-12,DISPATCHED,WH-DELHI
SHP00262,S021,P029,137,2024-02-21,2024-02-24,DISPATCHED,WH-BANGALORE
SHP00263,S065,P022,317,2023-07-20,2023-07-27,DISPATCHED,WH-MUMBAI
SHP00264,S093,P064,207,2024-09-20,2024-09-27,DISPATCHED,WH-HYDERABAD
SHP00265,S025,P024,330,2024-08-06,2024-08-12,DISPATCHED,WH-HYDERABAD
SHP00266,S015,P029,369,2023-12-23,2023-12-29,DISPATCHED,WH-HYDERABAD
SHP00267,S056,P047,342,2024-01-06,2024-01-10,DISPATCHED,WH-MUMBAI
SHP00268,S080,P021,281,2024-01-02,2024-01-06,DISPATCHED,WH-BANGALORE
SHP00269,S002,P080,86,2024-03-09,2024-03-16,DISPATCHED,WH-MUMBAI
SHP00270,S027,P048,334,2024-10-07,2024-10-11,DISPATCHED,WH-BANGALORE
SHP00271,S099,P084,327,2024-01-06,2024-01-12,DISPATCHED,WH-DELHI
SHP00272,S080,P092,106,2023-08-01,2023-08-08,DISPATCHED,WH-DELHI
SHP00273,S011,P037,163,2024-03-30,2024-04-03,DISPATCHED,WH-DELHI
SHP00274,S056,P056,55,2023-07-06,2023-07-11,DISPATCHED,WH-DELHI
SHP00275,S054,P050,425,2023-11-05,2023-11-09,DISPATCHED,WH-BANGALORE
SHP00276,S076,P068,268,2023-10-27,2023-11-02,DISPATCHED,WH-DELHI
SHP00277,S068,P005,308,2023-10-21,2023-10-24,DISPATCHED,WH-MUMBAI
SHP00278,S037,P019,250,2023-10-15,2023-10-22,DISPATCHED,WH-HYDERABAD
SHP00279,S064,P093,62,2024-12-02,2024-12-08,DISPATCHED,WH-DELHI
SHP00280,S063,P044,95,2024-03-17,2024-03-22,DISPATCHED,WH-DELHI
SHP00281,S098,P061,394,2023-12-13,2023-12-18,DISPATCHED,WH-HYDERABAD
SHP00282,S057,P033,401,2023-12-10,2023-12-15,DISPATCHED,WH-HYDERABAD
SHP00283,S088,P044,402,2023-06-28,2023-07-05,DISPATCHED,WH-HYDERABAD
SHP00284,S026,P008,229,2024-02-10,2024-02-15,DISPATCHED,WH-DELHI
SHP00285,S084,P001,123,2023-12-06,2023-12-13,DISPATCHED,WH-BANGALORE
SHP00286,S066,P047,123,2024-01-29,2024-02-04,DISPATCHED,WH-HYDERABAD
SHP00287,S080,P063,258,2024-07-25,2024-07-31,DISPATCHED,WH-HYDERABAD
SHP00288,S025,P036,135,2024-01-18,2024-01-24,DISPATCHED,WH-MUMBAI
SHP00289,S052,P055,349,2023-08-06,2023-08-11,DISPATCHED,WH-DELHI
SHP00290,S023,P085,423,2023-04-21,2023-04-28,DISPATCHED,WH-DELHI
SHP00291,S036,P094,192,2024-01-28,2024-02-01,DISPATCHED,WH-DELHI
SHP00292,S018,P015,434,2024-08-15,2024-08-19,DISPATCHED,WH-DELHI
SHP00293,S034,P020,276,2023-08-28,2023-09-03,DISPATCHED,WH-DELHI
SHP00294,S015,P066,359,2023-04-29,2023-05-04,DISPATCHED,WH-HYDERABAD
SHP00295,S040,P037,313,2023-10-01,2023-10-04,DISPATCHED,WH-DELHI
SHP00296,S063,P100,232,2023-06-15,2023-06-19,DISPATCHED,WH-MUMBAI
SHP00297,S013,P097,105,2024-09-22,2024-09-27,DISPATCHED,WH-MUMBAI
SHP00298,S017,P021,117,2023-04-29,2023-05-03,DISPATCHED,WH-HYDERABAD
SHP00299,S080,P068,70,2024-08-08,2024-08-11,DISPATCHED,WH-MUMBAI
SHP00300,S030,P065,481,2024-12-16,2024-12-23,DISPATCHED,WH-HYDERABAD
SHP00301,S073,P007,242,2023-03-02,2023-03-05,DISPATCHED,WH-DELHI
SHP00302,S086,P092,450,2024-08-05,2024-08-08,DISPATCHED,WH-DELHI
SHP00303,S004,P061,153,2024-09-07,2024-09-13,DISPATCHED,WH-MUMBAI
