shipment_id,supplier_id,product_id_x,shipped_quantity,dispatch_date,expected_delivery_date,status_x,destination_warehouse,_ingested_at_x,_source_file_x,_pipeline_version_x,_fail_reason_x,receipt_id,product_id_y,received_quantity,actual_receipt_date,warehouse_id,status_y,_ingested_at_y,_source_file_y,_pipeline_version_y,_fail_reason_y,delay_days
SHP00052,S043,P051,364,2024-09-23,2024-09-27,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00052,P051,364,2024-10-01,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00055,S091,P091,357,2023-06-09,2023-06-12,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00055,P091,357,2023-06-17,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00059,S075,P033,412,2024-12-30,2025-01-02,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00059,P033,412,2025-01-06,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00062,S030,P057,376,2023-11-07,2023-11-10,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00062,P057,376,2023-11-15,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00063,S096,P008,363,2024-03-08,2024-03-11,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00063,P008,363,2024-03-15,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00067,S056,P002,219,2023-09-11,2023-09-16,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00067,P002,219,2023-09-20,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00070,S095,P004,282,2023-10-05,2023-10-10,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00070,P004,282,2023-10-14,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00072,S093,P069,395,2023-04-05,2023-04-10,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00072,P069,395,2023-04-14,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00092,S005,P085,329,2024-08-13,2024-08-17,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00092,P085,329,2024-08-21,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00093,S022,P036,488,2024-06-14,2024-06-18,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00093,P036,488,2024-06-22,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00095,S060,P067,428,2023-11-03,2023-11-06,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00095,P067,428,2023-11-10,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00103,S099,P072,370,2023-09-08,2023-09-12,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00103,P072,370,2023-09-16,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00124,S048,P036,211,2024-02-23,2024-02-26,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00124,P036,211,2024-03-02,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00134,S061,P035,310,2024-10-23,2024-10-27,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00134,P035,310,2024-11-01,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00141,S096,P089,179,2023-03-13,2023-03-17,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00141,P089,179,2023-03-22,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00148,S028,P015,106,2023-03-06,2023-03-09,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00148,P015,106,2023-03-13,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00153,S001,P058,237,2023-04-09,2023-04-12,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00153,P058,237,2023-04-16,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00163,S065,P058,201,2024-03-18,2024-03-21,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00163,P058,201,2024-03-25,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00173,S085,P026,275,2023-04-18,2023-04-21,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00173,P026,275,2023-04-27,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,6
SHP00176,S035,P021,420,2024-02-02,2024-02-05,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00176,P021,420,2024-02-09,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00183,S004,P058,123,2024-03-04,2024-03-07,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00183,P058,123,2024-03-11,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00191,S051,P010,309,2023-05-18,2023-05-22,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00191,P010,309,2023-05-27,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00195,S085,P080,327,2024-09-27,2024-10-01,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00195,P080,327,2024-10-05,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00199,S040,P058,360,2023-06-27,2023-06-30,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00199,P058,360,2023-07-04,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00203,S078,P054,87,2023-01-17,2023-01-21,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00203,P054,87,2023-01-25,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00206,S005,P014,490,2024-10-15,2024-10-18,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00206,P014,490,2024-10-22,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00212,S094,P052,210,2023-05-28,2023-06-01,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00212,P052,210,2023-06-06,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00216,S010,P066,105,2023-04-02,2023-04-06,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00216,P066,105,2023-04-11,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00237,S005,P001,112,2024-02-04,2024-02-09,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00237,P001,112,2024-02-13,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00240,S089,P089,83,2023-03-30,2023-04-03,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00240,P089,83,2023-04-08,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00244,S072,P045,382,2023-09-18,2023-09-21,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00244,P045,382,2023-09-25,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00246,S048,P079,454,2023-07-21,2023-07-24,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00246,P079,454,2023-07-29,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00253,S024,P003,87,2023-08-07,2023-08-12,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00253,P003,87,2023-08-16,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00254,S055,P026,120,2023-08-01,2023-08-04,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00254,P026,120,2023-08-10,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,6
SHP00258,S032,P001,56,2024-09-12,2024-09-15,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00258,P001,56,2024-09-19,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00262,S021,P029,137,2024-02-21,2024-02-24,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00262,P029,137,2024-03-01,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,6
SHP00267,S056,P047,342,2024-01-06,2024-01-10,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00267,P047,342,2024-01-14,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00268,S080,P021,281,2024-01-02,2024-01-06,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00268,P021,281,2024-01-10,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00270,S027,P048,334,2024-10-07,2024-10-11,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00270,P048,334,2024-10-16,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00274,S056,P056,55,2023-07-06,2023-07-11,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00274,P056,55,2023-07-15,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00277,S068,P005,308,2023-10-21,2023-10-24,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00277,P005,308,2023-10-29,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00281,S098,P061,394,2023-12-13,2023-12-18,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00281,P061,394,2023-12-22,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00291,S036,P094,192,2024-01-28,2024-02-01,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00291,P094,192,2024-02-05,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00296,S063,P100,232,2023-06-15,2023-06-19,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00296,P100,232,2023-06-23,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00298,S017,P021,117,2023-04-29,2023-05-03,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00298,P021,117,2023-05-08,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00299,S080,P068,70,2024-08-08,2024-08-11,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00299,P068,70,2024-08-15,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00304,S038,P030,352,2024-09-27,2024-10-01,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00304,P030,352,2024-10-06,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00307,S005,P009,57,2023-11-22,2023-11-25,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00307,P009,57,2023-12-01,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,6
SHP00316,S015,P008,313,2023-08-22,2023-08-25,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00316,P008,313,2023-08-30,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00323,S067,P035,327,2023-10-05,2023-10-09,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00323,P035,327,2023-10-14,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00324,S040,P079,258,2023-11-29,2023-12-04,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00324,P079,258,2023-12-08,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00338,S068,P016,278,2023-10-16,2023-10-20,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00338,P016,278,2023-10-24,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00339,S072,P020,441,2024-03-22,2024-03-25,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00339,P020,441,2024-03-31,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,6
SHP00345,S015,P050,197,2023-03-11,2023-03-15,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00345,P050,197,2023-03-19,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00346,S088,P086,277,2024-02-11,2024-02-14,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00346,P086,277,2024-02-18,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00357,S049,P023,166,2023-07-21,2023-07-24,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00357,P023,166,2023-07-28,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00359,S045,P040,64,2024-03-23,2024-03-27,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00359,P040,64,2024-03-31,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00360,S004,P022,196,2023-02-01,2023-02-05,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00360,P022,196,2023-02-09,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00363,S041,P028,236,2023-06-16,2023-06-19,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00363,P028,236,2023-06-24,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00366,S068,P011,317,2024-05-30,2024-06-03,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00366,P011,317,2024-06-07,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00367,S088,P033,449,2024-11-25,2024-11-28,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00367,P033,449,2024-12-02,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00374,S078,P028,77,2024-02-14,2024-02-19,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00374,P028,77,2024-02-23,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00377,S023,P011,307,2023-02-25,2023-02-28,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00377,P011,307,2023-03-05,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00380,S012,P048,243,2024-07-13,2024-07-16,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00380,P048,243,2024-07-21,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00387,S056,P018,225,2024-10-26,2024-10-29,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00387,P018,225,2024-11-04,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,6
SHP00394,S066,P057,196,2023-11-26,2023-11-30,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00394,P057,196,2023-12-05,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00395,S084,P095,138,2024-07-11,2024-07-15,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00395,P095,138,2024-07-20,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00407,S035,P056,474,2023-01-08,2023-01-13,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00407,P056,474,2023-01-17,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00418,S016,P062,146,2024-10-04,2024-10-07,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00418,P062,146,2024-10-13,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,6
SHP00421,S073,P092,326,2024-06-02,2024-06-06,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00421,P092,326,2024-06-11,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00423,S052,P088,216,2023-09-07,2023-09-10,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00423,P088,216,2023-09-14,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00424,S007,P060,274,2023-09-17,2023-09-21,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00424,P060,274,2023-09-26,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00425,S004,P025,256,2024-05-08,2024-05-11,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00425,P025,256,2024-05-17,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,6
SHP00429,S011,P049,277,2024-09-23,2024-09-27,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00429,P049,277,2024-10-01,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00430,S008,P054,111,2024-10-30,2024-11-02,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00430,P054,111,2024-11-06,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00431,S055,P002,81,2024-07-20,2024-07-23,DISPATCHED,WH-DELHI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00431,P002,81,2024-07-29,WH-DELHI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,6
SHP00436,S058,P017,94,2023-03-01,2023-03-06,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00436,P017,94,2023-03-10,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00441,S038,P035,218,2023-11-05,2023-11-09,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00441,P035,218,2023-11-14,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
SHP00450,S018,P047,308,2023-09-18,2023-09-22,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00450,P047,308,2023-09-26,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00454,S016,P048,429,2023-05-09,2023-05-14,DISPATCHED,WH-HYDERABAD,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00454,P048,429,2023-05-18,WH-HYDERABAD,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00459,S025,P023,153,2023-11-08,2023-11-13,DISPATCHED,WH-MUMBAI,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00459,P023,153,2023-11-17,WH-MUMBAI,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,4
SHP00463,S096,P060,221,2023-02-07,2023-02-10,DISPATCHED,WH-BANGALORE,2026-07-12 23:15:22.781407,supplier_shipments.csv,1.0,,RCP00463,P060,221,2023-02-15,WH-BANGALORE,RECEIVED,2026-07-12 23:15:22.828274,warehouse_receipts.csv,1.0,,5
