product_id,product_name,unit_price,category,min_order_qty,_ingested_at,_source_file,_pipeline_version
P029,Product_29,74015,Furniture,18,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P030,Product_30,52951,Hardware,19,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P031,Product_31,3236,Furniture,3,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P032,Product_32,2996,Electronics,8,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P033,Product_33,63895,Electronics,20,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P034,Product_34,69295,Hardware,20,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P035,Product_35,38282,Hardware,14,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P036,Product_36,41384,Office Supplies,8,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P037,Product_37,44633,Appliances,7,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P038,Product_38,63775,Appliances,14,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P039,Product_39,56345,Appliances,3,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P040,Product_40,62406,Electronics,18,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P041,Product_41,34926,Appliances,2,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P042,Product_42,5519,Hardware,12,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P043,Product_43,24988,Furniture,4,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P044,Product_44,11871,Electronics,10,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P045,Product_45,15637,Electronics,3,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P046,Product_46,65397,Hardware,1,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P047,Product_47,6582,Appliances,7,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P048,Product_48,10693,Furniture,14,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P049,Product_49,49710,Furniture,9,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P050,Product_50,59393,Electronics,17,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P051,Product_51,31802,Furniture,16,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P052,Product_52,15095,Hardware,18,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P053,Product_53,49479,Appliances,15,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P054,Product_54,65589,Hardware,1,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P055,Product_55,58975,Hardware,7,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P056,Product_56,13087,Office Supplies,10,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P057,Product_57,34650,Hardware,9,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P058,Product_58,10248,Appliances,15,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P059,Product_59,31724,Electronics,13,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P060,Product_60,69862,Hardware,18,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P061,Product_61,22865,Furniture,13,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P062,Product_62,16096,Furniture,8,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P063,Product_63,39727,Electronics,2,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P064,Product_64,27540,Appliances,14,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P065,Product_65,45028,Hardware,1,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P066,Product_66,36282,Electronics,18,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P067,Product_67,71795,Electronics,19,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P068,Product_68,15974,Hardware,3,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P069,Product_69,23295,Electronics,5,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P070,Product_70,49910,Furniture,4,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P071,Product_71,33885,Office Supplies,19,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P072,Product_72,30676,Office Supplies,14,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P073,Product_73,70179,Office Supplies,7,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P074,Product_74,31856,Appliances,17,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P075,Product_75,70544,Furniture,8,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P076,Product_76,75160,Furniture,12,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P077,Product_77,27171,Appliances,15,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P078,Product_78,69752,Furniture,19,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P079,Product_79,61169,Electronics,7,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P080,Product_80,10296,Furniture,16,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P081,Product_81,6130,Hardware,20,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P082,Product_82,22260,Furniture,15,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P083,Product_83,11986,Hardware,7,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P084,Product_84,70928,Furniture,5,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P085,Product_85,14039,Appliances,12,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P086,Product_86,12685,Furniture,7,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P087,Product_87,24955,Hardware,7,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P088,Product_88,50152,Electronics,7,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P089,Product_89,68945,Electronics,1,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P090,Product_90,9286,Furniture,12,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P091,Product_91,4352,Furniture,10,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P092,Product_92,32328,Appliances,8,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P093,Product_93,49795,Office Supplies,13,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P094,Product_94,34745,Hardware,5,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P095,Product_95,54687,Furniture,19,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P096,Product_96,39617,Appliances,17,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P097,Product_97,38345,Furniture,5,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P098,Product_98,71395,Appliances,9,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P099,Product_99,75961,Office Supplies,19,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
P100,Product_100,38394,Hardware,20,2026-07-12 23:15:22.862507,product_catalog.csv,1.0
